Attending Coll./Univ. (%),African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,First Language Not English %,English Language Learner %,Students With Disabilities %,High Needs %,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting
86.2,1.1,2.2,2.6,92.7,0.6,0.1,0.7,49.9,50.1,1.4,1.1,18.4,30.9,"     $16,869,930","  $83,972",    201,"          $44,341,726.00","           2,616.0","              $16,950.20","          $51,380,959.00","           2,942.7","              $17,460.48","   2,668",      72,1.6,1.4,0.0,0.0
80.5,4.2,5.0,16.3,71.5,0.5,0.1,2.3,51.2,48.8,16.0,5.8,16.9,43.8,"     $15,746,514","  $78,146",    202,"          $41,216,961.00","           2,630.2","              $15,670.66","          $47,076,282.00","           2,884.4","              $16,321.00","   2,765",     165,5.2,3.0,0.0,0.0
92.8,2.7,1.1,1.2,93.4,0.0,0.0,1.5,50.5,49.5,1.9,0.6,13.3,21.6,"     $22,074,755","  $90,248",    245,"          $44,346,416.00","           2,952.3","              $15,020.97","          $48,097,926.00","           3,006.9","              $15,995.85","   3,022",      18,0.4,0.2,0.0,0.0
86.5,1.8,2.8,4.2,88.1,0.0,0.0,2.9,49.9,50.1,6.0,3.0,16.4,29.5,"     $12,660,323","  $80,793",    157,"          $30,835,027.00","           2,009.2","              $15,346.92","          $34,521,827.00","           2,059.9","              $16,758.98","   2,061",      62,2.4,1.4,0.0,0.0
90.8,4.9,28.4,4.7,56.7,0.1,0.1,5.1,51.5,48.5,25.5,4.2,13.5,23.6,"     $23,608,227","  $92,007",    257,"          $57,276,974.00","           3,573.0","              $16,030.50","          $61,182,916.00","           3,621.8","              $16,892.96","   3,607",      57,1.0,0.7,0.0,0.0
61.7,1.4,0.8,4.7,91.1,0.2,0.0,1.8,58.1,41.9,1.1,0.0,24.9,35.7,"     $11,830,658","  $93,081",    127,"          $29,852,643.00","           1,274.3","              $23,426.70","          $29,915,011.00","           1,285.3","              $23,274.73","   1,328",      90,6.4,0.5,0.1,0.0
88.8,2.3,29.7,8.3,55.7,0.4,0.0,3.6,49.9,50.0,32.3,3.6,13.4,26.2,"     $32,410,217","  $78,585",    412,"          $79,534,686.00","           6,147.5","              $12,937.73","          $87,662,358.00","           6,379.0","              $13,742.34","   6,420",     113,0.5,1.3,0.0,0.0
77.4,1.4,1.0,1.0,96.0,0.0,0.2,0.5,52.3,47.7,0.4,0.2,14.9,27.7,"     $11,461,982","  $84,466",    136,"          $28,801,524.00","           1,854.3","              $15,532.29","          $29,649,966.00","           1,929.1","              $15,369.84","   1,907",     124,0.0,6.5,0.0,0.0
85.4,1.3,0.1,3.0,92.8,0.1,0.0,2.7,49.2,50.8,1.5,0.1,13.4,23.5,"      $5,996,394","  $74,121",     81,"          $14,580,555.00",             978.2,"              $14,905.49","          $16,487,988.00","           1,022.2","              $16,129.90","   1,016",      59,0.0,5.8,0.0,0.0
70.0,10.0,7.1,42.1,36.9,0.1,0.0,3.9,53.3,46.7,48.6,20.3,21.4,60.6,"     $35,845,985","  $82,291",    436,"          $94,053,742.00","           4,889.4","              $19,236.25","         $110,189,660.00","           5,446.3","              $20,232.02","   5,103",     202,2.0,2.1,0.0,0.0
74.5,1.7,2.4,12.9,80.9,0.1,0.1,2.0,49.2,50.8,6.4,4.2,15.8,38.1,"     $10,106,128","  $70,181",    144,"          $26,449,119.00","           1,908.7","              $13,857.14","          $30,519,906.00","           2,144.9","              $14,229.06","   1,984",      74,2.2,2.4,0.0,0.0
50.6,6.0,0.1,43.4,46.2,1.1,0.0,3.1,59.6,40.4,23.0,9.2,43.9,69.9,"      $6,673,432","  $82,388",     81,"          $19,143,407.00",             713.1,"              $26,845.33","          $19,143,407.00",             713.1,"              $26,845.33",     751,      81,0.5,10.5,0.0,0.0
35.4,1.8,1.1,4.6,89.7,0.0,0.0,2.8,66.5,33.5,0.8,0.0,32.0,49.8,"      $4,973,864","  $78,083",     64,"          $13,526,918.00",             639.8,"              $21,142.42","          $13,526,918.00",             639.8,"              $21,142.42",     651,      73,5.1,7.7,0.0,0.0
46.8,1.8,1.6,54.7,39.8,0.3,0.0,1.7,50.6,49.4,34.7,23.8,21.2,79.7,"     $13,857,478","  $73,514",    189,"          $34,099,756.00","           2,050.9","              $16,626.73","          $39,527,478.00","           2,433.1","              $16,245.73","   2,291",     227,4.1,7.4,0.0,0.0
50.9,34.1,1.5,11.8,47.4,0.0,0.0,5.1,51.3,48.6,25.0,1.1,18.3,52.6,"     $10,634,568","  $80,261",    133,"          $30,809,598.00","           1,509.3","              $20,413.17","          $30,819,598.00","           1,511.3","              $20,392.77","   1,449",      64,0.0,4.4,0.0,0.0
53.2,0.7,0.6,9.2,88.2,0.1,0.0,1.2,58.9,41.1,0.5,0.0,13.9,34.9,"      $8,441,803","  $75,373",    112,"          $21,098,560.00","           1,085.6","              $19,434.93","          $21,303,455.00","           1,118.0","              $19,054.97","   1,129",      68,3.2,3.9,0.0,0.0
78.9,1.8,0.8,4.6,90.6,0.1,0.0,2.0,51.3,48.7,3.3,2.5,18.7,34.9,"      $8,905,660","  $66,809",    133,"          $21,899,997.00","           1,521.1","              $14,397.47","          $24,315,776.00","           1,622.7","              $14,984.76","   1,560",      86,4.4,2.1,0.0,0.0
54.2,1.6,1.0,9.4,84.5,0.2,0.0,3.3,52.7,47.2,2.3,1.9,22.7,47.8,"      $7,347,604","  $65,023",    113,"          $22,057,041.00","           1,397.7","              $15,780.96","          $27,130,289.00","           1,694.8","              $16,007.96","   1,505",      73,0.6,4.6,0.0,0.0
57.5,19.6,2.4,65.0,11.2,0.1,0.0,1.7,52.4,47.6,27.4,15.6,21.9,82.7,"    $136,089,082","  $71,001","  1,917","         $408,939,871.00","          25,776.0","              $15,865.14","         $483,216,706.00","          30,587.9","              $15,797.64","  28,167","   2,485",2.6,7.0,0.0,0.0
85.5,2.2,4.8,7.6,81.6,0.2,0.0,3.5,49.5,50.5,12.3,3.5,18.8,34.2,"     $14,044,453","  $74,035",    190,"          $36,854,270.00","           2,328.2","              $15,829.51","          $41,483,597.00","           2,488.0","              $16,673.47","   2,419",      49,0.0,2.0,0.0,0.0
80.6,21.5,6.3,10.8,56.1,0.2,0.3,4.7,51.6,48.4,15.3,6.8,14.7,43.0,"     $24,391,914","  $79,272",    308,"          $52,819,675.00","           3,542.6","              $14,909.86","          $59,058,170.00","           3,743.8","              $15,774.93","   3,740",     102,1.2,1.8,0.0,0.0
84.3,0.7,1.3,2.0,91.8,0.1,0.0,4.1,49.7,50.3,1.8,1.0,17.6,25.3,"      $7,475,765","  $75,437",     99,"          $19,092,202.00","           1,409.8","              $13,542.49","          $20,446,250.00","           1,451.3","              $14,088.23","   1,440",      16,0.8,1.0,0.0,0.0
88.7,3.3,3.0,10.1,81.0,0.2,0.1,2.3,50.9,49.1,9.9,3.9,16.4,30.2,"     $14,625,233","  $76,733",    191,"          $35,061,895.00","           2,199.6","              $15,940.12","          $38,282,453.00","           2,268.4","              $16,876.41","   2,271",      32,0.7,0.9,0.0,0.0
80.2,0.9,1.0,1.8,94.6,0.2,0.0,1.5,51.8,48.2,1.4,0.4,12.2,28.6,"     $11,206,297","  $68,331",    164,"          $27,962,514.00","           2,075.2","              $13,474.61","          $29,214,884.00","           2,137.8","              $13,665.86","   2,136",      91,3.0,2.0,0.0,0.0
66.7,0.7,0.9,5.1,90.5,0.2,0.0,2.5,50.5,49.5,0.9,0.2,12.2,27.9,"     $10,864,291","  $78,956",    138,"          $25,684,249.00","           1,757.2","              $14,616.58","          $25,892,750.00","           1,795.7","              $14,419.31","   1,821",      63,1.6,2.4,0.0,0.0
67.7,15.2,1.4,11.8,66.1,0.2,0.2,5.1,50.9,49.1,10.3,4.3,18.9,54.4,"     $42,134,068","  $79,066",    533,"         $108,287,930.00","           8,092.4","              $13,381.44","         $116,899,685.00","           8,399.9","              $13,916.79","   8,563",     509,0.7,5.7,0.0,0.0
79.9,2.8,3.3,3.7,89.1,0.0,0.1,1.0,50.6,49.4,3.4,1.9,16.9,29.2,"     $19,661,132","  $75,591",    260,"          $56,048,310.00","           3,478.8","              $16,111.39","          $63,196,607.00","           3,658.0","              $17,276.27","   3,591",     109,0.0,3.0,0.0,0.0
47.4,0.5,0.7,5.3,88.9,0.2,0.1,4.3,56.9,42.9,0.5,0.4,30.8,44.0,"      $8,289,216","  $87,072",     95,"          $20,347,193.00","           1,024.1","              $19,868.37","          $20,357,955.00","           1,024.1","              $19,878.87",     998,      94,0.0,9.3,0.0,0.0
82.0,1.1,1.7,2.9,92.2,0.2,0.2,1.7,51.3,48.7,3.2,1.1,15.9,32.1,"     $15,589,643","  $77,870",    200,"          $41,303,794.00","           2,506.7","              $16,477.36","          $44,928,268.00","           2,662.1","              $16,877.00","   2,638",      45,0.8,1.4,0.0,0.0
47.0,4.5,2.1,2.1,85.6,0.6,0.0,5.2,62.1,37.9,0.0,0.0,17.8,39.7,"      $5,774,190","  $72,999",     79,"          $17,017,246.00",             791.5,"              $21,500.00","          $17,055,678.00",             798.5,"              $21,359.65",     721,      64,5.3,5.7,0.0,0.0
71.7,1.4,1.3,4.3,90.4,0.3,0.1,2.1,53.0,46.9,3.1,1.8,14.2,31.1,"      $9,514,781","  $86,972",    109,"          $25,935,107.00","           1,720.9","              $15,070.66","          $30,119,919.00","           1,960.0","              $15,367.31","   1,839",      46,0.8,2.0,0.0,0.0
84.9,2.0,3.0,5.1,87.4,0.1,0.1,2.3,49.9,50.1,2.6,1.5,14.4,23.8,"     $34,578,832","  $74,636",    463,"          $88,501,507.00","           7,207.1","              $12,279.77","          $96,733,192.00","           7,440.6","              $13,000.72","   7,369",     138,0.4,1.6,0.0,0.0
83.8,2.5,3.4,5.8,84.9,0.2,0.2,3.0,50.6,49.4,4.2,1.8,16.3,26.8,"     $20,542,574","  $79,963",    257,"          $50,749,409.00","           3,489.6","              $14,543.04","          $56,217,105.00","           3,605.1","              $15,593.77","   3,582",     110,1.0,2.4,0.0,0.0
89.2,3.4,6.2,5.2,82.5,0.3,0.0,2.4,50.1,49.9,9.2,2.7,14.5,24.1,"     $22,252,526","  $76,548",    291,"          $56,872,538.00","           3,812.1","              $14,918.95","          $62,189,368.00","           3,931.0","              $15,820.24","   3,872",      78,0.3,1.7,0.0,0.0
75.5,9.6,5.6,39.6,42.7,0.1,0.1,2.4,52.9,47.1,46.3,22.2,15.9,52.3,"     $41,196,341","  $79,209",    520,"         $115,980,768.00","           5,565.9","              $20,837.74","         $124,498,232.00","           5,750.8","              $21,648.85","   5,882",     215,2.0,2.4,0.0,0.0
60.0,1.9,0.5,6.7,86.5,0.1,0.3,4.0,50.0,50.0,2.0,0.8,19.9,56.5,"      $5,793,404","  $63,664",     91,"          $17,448,670.00","           1,191.2","              $14,647.98","          $19,958,691.00","           1,389.6","              $14,362.90","   1,296",      39,1.5,2.2,0.0,0.0
51.4,7.7,1.1,7.0,72.9,1.1,0.1,10.1,51.8,48.2,2.1,1.1,26.2,61.7,"     $14,097,152","  $74,431",    189,"          $39,560,210.00","           2,311.5","              $17,114.52","          $46,125,517.00","           2,662.0","              $17,327.39","   2,466",     309,5.8,10.3,0.0,0.0
90.6,3.7,8.4,15.0,67.1,0.5,0.1,5.3,50.8,49.2,33.8,13.0,20.6,44.8,"     $21,298,878","  $84,086",    253,"          $52,172,570.00","           2,597.4","              $20,086.46","          $59,887,949.00","           2,747.8","              $21,794.87","   2,714",      51,1.1,0.9,0.0,0.0
92.6,5.3,15.6,4.3,69.0,0.0,0.3,5.5,51.5,48.5,9.3,3.2,19.2,25.5,"     $21,268,036","  $97,739",    218,"          $49,225,960.00","           2,718.6","              $18,107.10","          $52,028,230.00","           2,774.7","              $18,750.94","   2,744",      37,1.3,0.0,0.0,0.0
70.5,4.7,2.0,25.4,60.9,0.2,0.2,6.5,51.3,48.7,11.0,8.4,23.2,62.0,"      $9,690,046","  $69,763",    139,"          $27,467,850.00","           1,865.5","              $14,724.12","          $31,375,150.00","           2,076.1","              $15,112.54","   2,009",     154,2.2,6.8,0.0,0.0
89.4,4.1,13.6,5.0,70.6,0.0,0.0,6.7,49.3,50.7,6.6,2.3,16.0,22.5,"     $37,390,358","  $95,371",    392,"          $95,548,909.00","           5,002.4","              $19,100.61","         $103,454,102.00","           5,076.1","              $20,380.63","   5,091",      32,0.3,0.4,0.0,0.0
79.3,4.4,1.1,3.0,87.2,0.2,0.2,4.0,48.6,51.4,1.5,1.2,10.6,24.9,"      $7,306,058","  $77,724",     94,"          $17,114,860.00","           1,292.8","              $13,238.60","          $18,670,129.00","           1,332.1","              $14,015.56","   1,324",      28,1.9,0.2,0.0,0.0
71.2,3.7,7.8,17.3,68.3,0.1,0.0,2.7,51.5,48.5,30.6,10.6,18.6,57.0,"     $21,668,574","  $65,882",    329,"          $54,675,404.00","           4,184.6","              $13,065.86","          $60,750,888.00","           4,346.7","              $13,976.32","   4,445",     132,0.1,2.9,0.0,0.0
89.6,1.9,32.6,5.8,56.6,0.1,0.1,3.0,50.5,49.5,25.6,9.5,15.0,30.8,"     $25,691,038","  $79,096",    325,"          $59,285,174.00","           3,971.7","              $14,926.90","          $63,852,710.00","           4,031.4","              $15,838.84","   4,113",      27,0.0,0.7,0.0,0.0
67.4,2.4,3.3,14.4,77.8,0.1,0.1,2.0,51.5,48.5,9.2,5.4,19.3,48.8,"     $30,137,425","  $70,359",    428,"          $76,103,664.00","           5,421.2","              $14,038.16","          $81,922,837.00","           5,671.3","              $14,445.16","   5,705",     332,2.5,4.5,0.0,0.0
91.7,0.9,25.8,1.6,68.0,0.0,0.0,3.7,51.0,49.0,13.2,1.6,14.0,20.1,"     $30,501,943","  $88,694",    344,"          $70,957,588.00","           5,066.9","              $14,004.14","          $76,239,622.00","           5,149.1","              $14,806.40","   5,155",     100,1.5,0.5,0.0,0.0
76.9,0.5,0.7,3.1,90.8,0.3,0.0,4.6,54.5,45.5,2.4,1.0,18.6,37.1,"      $8,903,921","  $75,012",    119,"          $21,903,809.00","           1,439.2","              $15,219.43","          $23,692,587.00","           1,542.2","              $15,362.85","   1,467",      36,1.1,2.2,0.0,0.0
92.3,2.4,9.6,3.5,81.1,0.0,0.0,3.4,50.7,49.2,4.8,1.0,16.7,21.1,"     $22,705,300","  $96,413",    236,"          $56,839,965.00","           3,127.3","              $18,175.41","          $57,680,627.00","           3,150.2","              $18,310.15","   3,165",      14,0.4,0.2,0.0,0.0
70.6,6.2,5.9,8.8,75.0,0.2,0.1,3.7,51.3,48.7,10.7,3.6,18.4,41.5,"     $35,556,395","  $80,700",    441,"          $90,796,831.00","           5,949.2","              $15,262.02","         $102,507,584.00","           6,331.9","              $16,189.07","   6,273",     487,6.6,2.8,0.0,0.0
78.5,2.2,1.1,4.3,89.3,0.4,0.1,2.6,51.6,48.4,1.5,0.8,14.9,30.3,"     $20,517,697","  $82,500",    249,"          $49,260,605.00","           3,866.5","              $12,740.36","          $53,301,709.00","           3,982.0","              $13,385.66","   3,993",      38,0.2,0.8,0.0,0.0
59.3,1.4,1.0,18.9,75.3,0.2,0.0,3.1,54.5,45.5,4.8,1.0,23.5,47.4,"      $9,696,899","  $85,135",    114,"          $25,095,428.00","           1,216.7","              $20,625.81","          $25,162,598.00","           1,218.4","              $20,652.17","   1,268",      88,3.2,4.1,0.0,0.0
83.3,1.8,4.8,4.1,86.0,0.1,0.1,3.1,50.9,49.1,2.3,0.8,19.4,27.0,"     $21,646,091","  $76,488",    283,"          $52,852,442.00","           3,309.8","              $15,968.47","          $60,304,117.00","           3,394.1","              $17,767.34","   3,399",      86,1.7,1.4,0.0,0.0
47.6,1.5,2.6,6.5,85.2,0.2,0.1,3.9,53.4,46.6,3.1,0.9,18.8,51.6,"      $6,710,826","  $76,086",     88,"          $17,234,161.00","           1,267.3","              $13,599.12","          $20,170,201.00","           1,468.2","              $13,738.05","   1,343",      95,3.6,5.0,0.0,0.0
91.6,1.1,17.1,3.4,73.1,0.2,0.0,5.0,50.7,49.3,15.6,3.5,16.9,24.6,"     $28,551,815","  $79,245",    360,"          $62,544,715.00","           4,649.7","              $13,451.34","          $66,571,000.00","           4,714.1","              $14,121.68","   4,722",      29,0.4,0.3,0.0,0.0
80.0,1.2,1.0,15.2,80.3,0.2,0.0,2.0,51.5,48.5,21.4,7.9,16.3,43.3,"     $10,535,091","  $79,450",    133,"          $25,850,178.00","           1,986.9","              $13,010.31","          $27,758,470.00","           2,027.6","              $13,690.31","   2,096",      45,0.4,2.0,0.0,0.0
78.0,7.2,7.2,9.7,72.5,0.5,0.1,2.8,49.4,50.6,18.0,7.4,15.7,41.2,"     $30,528,954","  $81,497",    375,"          $77,684,083.00","           4,594.3","              $16,908.80","          $83,877,592.00","           4,748.0","              $17,665.88","   4,771",      40,0.0,0.8,0.0,0.0
62.7,15.9,7.1,42.6,30.2,0.2,0.0,4.2,51.5,48.5,55.4,34.4,18.8,77.5,"    $145,910,759","  $80,587","  1,811","         $361,462,449.00","          25,559.0","              $14,142.28","         $415,444,078.00","          28,713.1","              $14,468.80","  27,586","   2,345",3.3,5.5,0.0,0.0
85.6,2.3,1.8,6.9,88.3,0.2,0.1,0.4,50.2,49.8,7.8,3.8,13.9,33.3,"     $10,347,229","  $79,107",    131,"          $25,908,215.00","           1,926.2","              $13,450.43","          $29,737,218.00","           2,040.5","              $14,573.50","   2,009",      40,1.3,0.9,0.0,0.0
90.3,1.9,31.2,4.2,58.3,0.3,0.0,4.1,51.7,48.3,16.3,4.3,16.4,25.1,"     $30,605,864","  $82,318",    372,"          $78,051,554.00","           5,613.9","              $13,903.27","          $87,351,122.00","           5,747.5","              $15,198.11","   5,708",      52,0.4,0.6,0.0,0.0
75.0,4.6,0.8,1.7,91.4,0.2,0.1,1.4,50.3,49.7,0.5,0.5,23.0,53.9,"      $6,615,679","  $77,014",     86,"          $18,351,967.00","           1,305.4","              $14,058.50","          $20,063,858.00","           1,457.0","              $13,770.66","   1,372",      90,5.2,2.8,0.0,0.0
80.1,2.0,2.8,7.1,85.6,0.0,0.1,2.5,51.8,48.2,8.7,5.5,16.6,39.6,"     $22,814,271","  $69,650",    328,"          $58,465,241.00","           3,908.8","              $14,957.34","          $63,338,234.00","           4,028.9","              $15,720.97","   4,091",      84,1.1,1.1,0.0,0.0
79.2,2.0,1.2,6.3,86.9,0.3,0.1,3.3,52.7,47.3,2.8,1.5,21.1,36.5,"     $13,027,871","  $76,997",    169,"          $32,276,226.00","           2,150.5","              $15,008.71","          $36,470,023.00","           2,298.7","              $15,865.50","   2,235",      46,1.5,0.7,0.0,0.0
84.1,7.0,9.0,15.0,59.9,0.1,0.1,8.9,50.7,49.3,16.8,4.2,19.3,35.7,"      $9,558,194","  $82,327",    116,"          $28,913,607.00","           1,366.0","              $21,166.62","          $33,309,299.00","           1,557.8","              $21,382.27","   1,409",      48,1.4,2.4,0.0,0.0
91.2,1.9,17.2,5.2,72.9,0.2,0.0,2.6,50.2,49.8,12.3,3.8,18.6,26.1,"     $39,633,961","  $84,838",    467,"          $97,224,894.00","           6,050.4","              $16,069.17","         $105,202,975.00","           6,173.8","              $17,040.23","   6,161",      68,0.6,0.9,0.0,0.0
85.5,3.7,12.5,6.0,73.3,0.1,0.2,4.3,50.1,49.9,11.5,4.6,14.6,25.5,"     $28,114,402","  $70,251",    400,"          $72,530,072.00","           5,537.8","              $13,097.27","          $80,996,098.00","           5,694.8","              $14,222.82","   5,710",     110,1.1,1.2,0.0,0.0
82.8,0.6,0.6,4.2,93.0,0.0,0.0,1.5,50.9,49.1,3.0,2.2,17.5,30.5,"     $10,626,717","  $70,190",    151,"          $28,819,825.00","           2,343.9","              $12,295.67","          $30,116,924.00","           2,434.0","              $12,373.43","   2,398",       8,0.3,0.0,0.0,0.0
88.5,2.0,12.3,9.8,72.3,0.5,0.0,3.0,49.6,50.4,17.6,3.9,15.5,28.2,"     $15,206,726","  $79,826",    190,"          $35,239,257.00","           2,709.4","              $13,006.30","          $38,770,864.00","           2,817.5","              $13,760.73","   2,773",      66,1.2,1.3,0.0,0.0
48.7,0.9,0.7,14.6,81.1,0.5,0.0,2.3,57.6,42.4,15.4,2.8,29.2,47.1,"      $9,179,382","  $81,378",    113,"          $22,249,975.00","           1,133.6","              $19,627.71","          $22,268,343.00","           1,133.6","              $19,643.92","   1,115",     117,6.6,5.4,0.0,0.0
59.7,1.6,0.8,8.0,87.0,0.1,0.1,2.5,51.8,48.2,3.1,2.5,26.7,59.8,"      $6,999,596","  $65,972",    106,"          $21,083,905.00","           1,461.5","              $14,426.21","          $25,705,584.00","           1,849.2","              $13,900.92","   1,576",       7,0.3,0.2,0.0,0.0
69.3,4.9,4.8,14.3,69.7,0.2,0.1,6.0,53.2,46.8,13.7,5.6,16.9,43.0,"     $30,667,056","  $84,669",    362,"          $75,103,895.00","           5,816.8","              $12,911.55","          $83,293,574.00","           6,255.4","              $13,315.47","   6,153",     392,3.3,4.6,0.0,0.0
82.2,1.9,3.9,7.1,83.7,0.3,0.0,3.1,49.9,50.1,6.2,3.3,8.6,25.8,"     $12,599,621","  $70,944",    178,"          $32,574,158.00","           2,506.4","              $12,996.39","          $33,957,312.00","           2,562.8","              $13,250.08","   2,587",      66,1.9,1.0,0.0,0.0
81.6,29.6,4.6,5.9,54.2,1.0,0.0,4.8,50.4,49.4,4.8,2.1,15.9,35.0,"      $4,781,149","  $70,415",     68,"          $11,837,628.00",             720.1,"              $16,438.87","          $12,484,412.00",             738.5,"              $16,905.09",     735,       8,0.3,1.0,0.0,0.0
79.0,4.4,2.8,10.7,76.4,0.3,0.4,4.9,51.2,48.8,7.7,3.4,20.1,38.8,"      $8,634,782","  $61,458",    141,"          $23,790,086.00","           1,697.1","              $14,018.08","          $28,572,903.00","           1,949.1","              $14,659.54","   1,786",      53,2.4,0.7,0.0,0.0
76.2,7.6,2.2,11.4,73.7,0.5,0.2,4.3,50.7,49.3,14.7,9.0,14.6,44.6,"     $29,137,408","  $77,135",    378,"          $76,449,601.00","           4,892.5","              $15,625.88","          $87,660,049.00","           5,626.6","              $15,579.58","   5,253",      14,0.0,0.3,0.0,0.0
87.0,6.3,14.4,5.8,68.4,0.0,0.2,4.9,51.0,49.0,15.1,5.3,16.8,28.1,"     $19,189,845","  $86,324",    222,"          $42,272,869.00","           2,616.5","              $16,156.27","          $47,900,758.00","           2,683.2","              $17,852.10","   2,684",      78,1.9,1.9,0.0,0.0
84.0,2.1,1.8,3.9,89.5,0.2,0.2,2.3,50.6,49.4,2.1,0.7,18.0,30.8,"     $11,117,918","  $65,670",    169,"          $29,670,130.00","           2,334.2","              $12,711.05","          $32,684,038.00","           2,509.4","              $13,024.64","   2,415",      84,2.9,1.0,0.0,0.0
69.9,1.7,3.0,3.9,89.0,0.2,0.7,1.6,51.5,48.4,3.5,1.4,19.6,33.1,"     $12,487,311","  $75,911",    165,"          $32,156,315.00","           2,264.8","              $14,198.30","          $36,585,033.00","           2,489.5","              $14,695.74","   2,331",      21,0.2,0.7,0.0,0.0
87.5,3.5,18.1,4.2,67.4,0.1,0.1,6.6,50.1,49.9,21.2,6.2,10.0,23.4,"     $23,160,307","  $85,906",    270,"          $53,960,673.00","           4,444.3","              $12,141.55","          $61,803,711.00","           4,550.5","              $13,581.74","   4,582",      39,0.3,0.6,0.0,0.0
71.5,1.9,2.6,7.2,84.1,0.2,0.2,3.9,51.2,48.8,6.9,2.8,17.8,38.1,"      $8,122,980","  $71,254",    114,"          $24,617,372.00","           1,264.1","              $19,474.23","          $27,087,042.00","           1,393.2","              $19,442.32","   1,319",      15,0.4,0.8,0.0,0.0
80.2,1.0,3.1,2.6,91.3,0.0,0.0,2.1,52.2,47.8,5.5,1.2,17.2,25.4,"      $3,253,895","  $69,677",     47,"           $8,061,523.00",             587.0,"              $13,733.43","           $9,762,616.00",             637.4,"              $15,316.31",     595,      10,0.2,1.7,0.0,0.2
76.9,2.9,2.3,11.7,79.6,0.0,0.1,3.3,52.1,47.9,5.4,3.5,20.6,40.0,"     $22,826,900","  $71,528",    319,"          $58,544,427.00","           4,552.6","              $12,859.56","          $66,163,191.00","           4,738.1","              $13,964.08","   4,688",     164,1.7,2.4,0.0,0.0
80.9,3.4,6.7,5.3,81.9,0.1,0.1,2.5,51.0,49.0,7.0,1.4,16.5,29.5,"     $30,735,410","  $82,312",    373,"          $74,891,636.00","           4,874.6","              $15,363.65","          $81,966,761.00","           5,155.4","              $15,899.20","   5,033",      56,0.1,1.1,0.0,0.0
80.1,0.6,0.8,2.9,94.1,0.0,0.0,1.6,48.2,51.8,0.7,0.2,9.8,19.2,"      $7,836,861","  $81,380",     96,"          $23,488,964.00","           1,227.6","              $19,134.05","          $23,513,435.00","           1,231.6","              $19,091.78","   1,209",      16,0.8,0.7,0.0,0.0
77.2,1.3,1.3,5.4,89.2,0.1,0.0,2.7,51.0,49.0,6.1,3.9,17.8,36.4,"      $9,160,257","  $66,814",    137,"          $22,682,330.00","           1,738.9","              $13,044.07","          $25,032,321.00","           1,874.5","              $13,354.13","   1,812",      83,4.0,1.6,0.0,0.0
66.2,22.7,0.7,11.9,59.3,0.8,0.1,4.5,55.5,44.5,7.0,0.2,25.4,42.0,"      $6,759,172","  $79,990",     85,"          $19,739,585.00",             896.0,"              $22,030.79","          $19,739,585.00",             896.0,"              $22,030.79",     874,      25,0.0,2.9,0.0,0.0
71.3,31.8,8.8,41.8,14.2,0.3,0.2,2.9,51.9,48.1,48.2,31.2,19.5,74.4,"    $393,000,102","  $99,368","  3,955","       $1,131,250,380.00","          54,447.7","              $20,776.83","       $1,365,321,554.00","          67,586.3","              $20,201.16","  57,462","   2,508",0.9,3.8,0.0,0.0
70.4,1.7,1.8,3.6,88.5,0.9,0.2,3.5,50.5,49.5,1.1,0.5,16.9,35.6,"     $12,304,662","  $84,685",    145,"          $29,541,793.00","           1,944.8","              $15,190.14","          $34,252,071.00","           2,220.8","              $15,423.30","   2,029",      50,0.7,1.9,0.0,0.0
88.3,4.8,15.7,4.3,73.6,0.3,0.1,1.3,50.2,49.8,13.7,5.0,20.3,37.4,"     $33,382,817","  $81,085",    412,"          $79,909,835.00","           5,838.5","              $13,686.71","          $86,462,381.00","           5,948.3","              $14,535.65","   5,979",      70,0.1,1.0,0.0,0.0
84.1,4.2,1.8,2.5,87.7,0.1,0.1,3.5,51.8,48.2,3.0,1.2,14.7,27.4,"     $27,741,126","  $82,760",    335,"          $65,855,947.00","           5,365.5","              $12,273.96","          $72,851,377.00","           5,589.9","              $13,032.68","   5,522",     113,1.3,1.2,0.0,0.0
74.8,0.2,0.2,2.6,95.5,0.2,0.0,1.3,28.2,71.4,1.5,0.0,12.6,27.6,"      $2,413,617","  $69,357",     35,"           $8,976,849.00",             453.3,"              $19,803.33","           $8,976,849.00",             453.3,"              $19,803.33",     468,      13,0.4,2.4,0.0,0.0
58.4,2.9,0.7,6.4,86.4,0.5,0.0,3.1,57.7,42.1,3.2,0.2,18.8,38.4,"      $8,790,695","  $88,171",    100,"          $24,537,223.00","           1,329.8","              $18,451.81","          $24,595,673.00","           1,341.5","              $18,334.46","   1,315",     114,7.3,2.5,0.0,0.0
68.1,57.0,2.2,15.3,20.4,0.4,0.2,4.6,51.9,48.1,38.4,20.5,15.4,67.6,"     $96,802,988","  $89,725","  1,079","         $241,743,187.00","          16,895.2","              $14,308.39","         $263,839,103.00","          17,994.3","              $14,662.37","  18,040","   1,658",4.7,6.5,0.0,0.0
